Loc,theta,z,ToA_S1,ToA_S2,ToA_S3,ToA_S4,ToA_S5,ToA_S6,ToA_S7,ToA_S8,Amplitude_S1,Amplitude_S2,Amplitude_S3,Amplitude_S4,Amplitude_S5,Amplitude_S6,Amplitude_S7,Amplitude_S8,SignalEnergy_S1,SignalEnergy_S2,SignalEnergy_S3,SignalEnergy_S4,SignalEnergy_S5,SignalEnergy_S6,SignalEnergy_S7,SignalEnergy_S8,Force_N,Impact_Type
3,0,22.5,0,5.57899475097656e-05,0.000104427337646484,6.58035278320312e-05,1.28746032714844e-05,5.86509704589844e-05,3.52859497070312e-05,5.53131103515625e-05,-0.93126782623052,0.523709046279333,-0.692832562470783,0.803443051214322,-1,0.971673370652232,-0.680927371149564,0.823596033721668,1.7374073485079e-05,7.02430265305397e-06,1.09500765751677e-05,1.62636957702482e-05,2.313183985626e-05,2.41999053549025e-05,1.11134616504248e-05,1.69067903478415e-05,12.3760991793295,0
4,0,30,9.39369201660156e-05,0.000139236450195312,0.000171184539794922,0.000135421752929688,0,5.19752502441406e-05,0.000140190124511719,7.39097595214844e-05,-0.339418795907927,0.295501823771245,-0.446751511816535,0.462194732909749,-1,0.71991618638383,-0.364937150442014,0.43950907345283,7.02796399182775e-06,4.57173691169964e-06,8.48713500294274e-06,1.03156786420487e-05,4.50150582726176e-05,2.38931837283936e-05,8.61119259847204e-06,1.03774444232669e-05,12.0727688666772,0
4,0,30,0.000108718872070312,0.000143051147460938,0.000262260437011719,0.000133037567138672,0,0.000109672546386719,0.000168800354003906,8.392333984375e-05,-0.32845445922071,0.295928850122518,-0.430626642224338,0.4556583006372,-1,0.698555966321967,-0.366526545283304,0.45328256128996,6.13110967157972e-06,3.97392516909205e-06,7.65747874568614e-06,9.17350041306271e-06,4.19186805836424e-05,2.04554048682194e-05,7.72918212600367e-06,9.25809509155154e-06,11.2638880329376,0
4,0,30,5.24520874023438e-05,0.000118255615234375,0.000142574310302734,9.5367431640625e-05,0,4.43458557128906e-05,7.91549682617188e-05,5.48362731933594e-05,-0.344807870239519,0.271847751181559,-0.39963348188617,0.430701923492811,-1,0.621391241146316,-0.34618691171443,0.429354663803938,8.50831045207984e-06,5.3118506712598e-06,9.92147851790706e-06,1.25624704264178e-05,5.91685327904669e-05,2.67968642579029e-05,9.99084890928322e-06,1.34391860026305e-05,13.4883103257215,0
4,0,30,4.62532043457031e-05,0.000105857849121094,0.000134468078613281,9.87052917480469e-05,0,1.09672546386719e-05,7.10487365722656e-05,3.0517578125e-05,-0.35090984163698,0.281335817889727,-0.404732401597379,0.440131089912883,-1,0.645287937649121,-0.34652321608266,0.461887204768439,7.93764244311419e-06,4.99124354778129e-06,9.39165301622573e-06,1.17772149880597e-05,5.02276877989477e-05,2.42911078926425e-05,9.4812518973692e-06,1.25832332722353e-05,12.5783193877644,0
5,0,37.5,0.000157356262207031,0.000137805938720703,0.000188350677490234,0.00016021728515625,0,1.76429748535156e-05,7.20024108886719e-05,2.90870666503906e-05,-0.110964966693672,0.111288200370958,-0.177671384156039,0.181684130096078,-1,0.223591668374605,-0.180850007892446,0.12369908105289,2.3116071052335e-06,1.68707509904186e-06,3.6960310029801e-06,4.09569369556865e-06,0.000136572162222886,7.11261444339458e-06,5.20539159136042e-06,2.56078047884128e-06,12.3760991793295,0
5,0,37.5,0.000249862670898438,0.000284194946289062,0.000377655029296875,0.000363349914550781,0,9.44137573242188e-05,0.000198841094970703,8.63075256347656e-05,-0.116623776402667,0.10732064755696,-0.151770139714077,0.166629354537318,-1,0.22900884300374,-0.181959542658341,0.10092463622351,2.96349140518191e-06,2.18926477842986e-06,4.80532165128104e-06,5.22821444193296e-06,0.00013853050555696,9.99001832677171e-06,6.19332843417279e-06,3.46951829664923e-06,12.7805395961993,0
5,0,37.5,0.000172615051269531,0.000202178955078125,0.000343799591064453,0.000192642211914062,0,6.05583190917969e-05,0.000193595886230469,7.53402709960938e-05,-0.113236592525477,0.0998553348680708,-0.155917198356021,0.159111374259279,-1,0.186696509778639,-0.169184603607161,0.118374721089193,2.2140066668256e-06,1.56652467933182e-06,3.52357401872889e-06,3.94061963742378e-06,0.000107519953526216,5.946317825463e-06,4.70603066131613e-06,2.94335076783027e-06,10.9605577202852,0
5,0,37.5,0.000156402587890625,0.000139236450195312,0.000192165374755859,0.000138282775878906,0,2.6702880859375e-05,0.000106334686279297,4.43458557128906e-05,-0.119998778193987,0.112428059537174,-0.173137316226099,0.175923952555586,-1,0.208411516586507,-0.188061550748088,0.116226814588294,4.57596383645042e-06,3.05178217321746e-06,7.2342448162777e-06,7.46872550391128e-06,0.000218789611612461,1.22084762880047e-05,9.13967019168489e-06,5.04946317546194e-06,15.5105124100704,0
6,0.785398163397448,7.5,0,1.28746032714844e-05,5.96046447753906e-05,3.24249267578125e-05,0.000174522399902344,0.000176906585693359,0.000143527984619141,0.0001373291015625,1,0.668236378227741,-0.209693590226747,-0.221204354564088,0.106527403741138,-0.105228857544109,-0.0894964119095407,-0.119894272965319,6.20114884105169e-05,2.63745349806521e-05,2.33367664382989e-06,3.07401146228135e-06,9.07540228927613e-07,8.56400633271625e-07,1.15683692983256e-06,1.148258820401e-06,0.242886673235758,0
